Scheme,"[$C_1,C_2$]",$P_1(\infty)$ (Exact),N,"P[1,2]" Experimental
Krylov,"[0.60,0.8000]",0.7450, 9,"(0.9400,0.0600)"
Tsettlin,"[0.30,0.4000]",0.7450, 9,"(0.9635,0.0365)"
